time,DASH,NKN,ANKR,KNC,ADA,MANA,SKL,MATIC,XLM,UNI,LRC,CVC,DAI,ETC,XTZ,GRT,ALGO,BCH
12:18 21-04-2021,50.11,35.09,45.94,43.65,47.91,25.81,29.22,70.76,25.88,120.31,93.0,105.16,0.01,170.87,40.27,23.55,112.53,70.75
14:12 21-04-2021,50.82,36.82,45.94,45.77,48.84,25.58,29.84,73.29,25.88,124.76,93.0,107.45,0.01,173.26,40.8,23.92,115.84,72.43
16:23 21-04-2021,51.92,40.85,45.94,44.95,49.3,26.03,30.46,78.34,26.5,134.06,98.94,109.74,0.01,179.11,41.68,25.39,122.48,74.12
18:24 21-04-2021,50.63,39.12,45.94,43.65,48.84,25.81,29.84,78.34,25.88,135.3,96.96,107.45,0.01,174.14,41.24,25.39,121.38
20:13 21-04-2021,50.22,36.82,45.94,43.16,48.84,25.58,30.46,78.34,25.88,132.78,94.98,107.45,0.01,173.26,41.24,25.03,120.27
22:15 21-04-2021,49.74,36.24,45.94,42.67,48.37,25.58,29.22,78.34,25.88,131.49,93.0,105.16,0.01,172.63,40.71,24.29,115.86
00:40 22-04-2021,48.57,35.67,42.4,41.85,46.51,24.91,28.59,80.87,25.26,130.67,91.02,102.88,0.01,171.25,39.39,23.55,114.75
02:36 22-04-2021,48.24,32.79,42.4,40.87,46.51,24.68,27.97,83.4,25.26,136.26,89.04,100.59,0.01,172.89,39.21,23.19,113.65
04:17 22-04-2021,49.17,33.37,42.4,40.21,46.51,24.91,27.97,80.87,24.65,141.11,89.04,100.59,0.01,175.15,39.21,23.37,114.75
06:15 22-04-2021,49.67,32.79,42.4,40.87,47.91,25.58,28.59,83.4,25.26,142.26,91.02,102.88,0.01,186.34,39.83,23.92,119.17
08:15 22-04-2021,48.03,31.64,42.4,39.89,46.51,24.91,27.97,85.92,24.65,142.53,89.04,98.31,0.01,176.97,38.77,23.55,115.86
10:13 22-04-2021,48.67,32.22,42.4,39.89,46.51,25.58,27.97,83.4,24.65,142.21,89.04,100.59,0.01,185.14,39.12,23.92,115.86
12:18 22-04-2021,50.22,32.79,42.4,41.36,47.91,26.25,28.59,85.92,25.26,145.38,93.0,100.59,0.01,201.43,40.36,24.47,120.27
14:12 22-04-2021,49.87,32.79,42.4,41.19,47.91,26.03,29.22,85.92,25.26,141.76,93.0,100.59,0.01,198.72,41.24,24.66,119.19
16:21 22-04-2021,50.99,33.94,42.4,41.36,49.3,25.36,30.46,88.45,25.88,141.25,93.0,102.88,0.01,194.64,41.59,24.11,121.39
18:26 22-04-2021,48.36,31.64,42.4,39.56,47.91,24.68,27.97,83.4,24.65,134.84,89.04,98.31,0.01,185.96,40.0,23.74,115.88
20:23 22-04-2021,47.54,31.07,42.4,38.42,46.51,24.01,27.35,80.87,24.65,134.01,87.06,96.02,0.01,182.0,38.59,23.19,112.57
22:25 22-04-2021,46.18,30.49,42.4,37.27,45.12,23.56,26.73,78.34,24.03,133.88,85.09,91.45,0.01,181.44,37.71,22.45,110.36
00:49 23-04-2021,45.31,29.34,38.87,36.13,44.19,23.34,26.11,75.82,22.8,130.26,81.13,89.16,0.01,176.53,36.57,21.71,108.15
02:50 23-04-2021,41.38,25.31,38.87,32.37,40.93,20.2,23.0,68.23,20.95,122.38,73.21,82.3,0.01,155.91,32.25,18.95,105.94
04:26 23-04-2021,42.36,25.89,35.34,34.17,41.86,21.09,23.62,70.76,20.95,124.07,75.19,80.02,0.01,160.56,33.04,20.06,98.22
06:15 23-04-2021,40.98,25.31,35.34,32.04,40.0,20.2,23.0,68.23,20.95,121.23,73.21,77.73,0.01,150.69,32.43,19.51,96.01
08:25 23-04-2021,39.98,25.31,35.34,31.55,39.07,19.52,22.38,65.71,20.33,121.0,71.23,75.44,0.01,146.98,31.81,18.77,96.01
10:23 23-04-2021,41.55,27.04,35.34,33.18,41.39,20.64,24.24,70.76,21.57,122.93,75.19,80.02,0.01,156.73,33.66,19.87,100.43
12:18 23-04-2021,41.69,28.19,38.87,33.51,43.25,21.54,24.24,73.29,21.57,123.15,75.19,82.3,0.01,164.4,33.75,20.24,100.44
